"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"474","02009","Alaincourt","549"
"475","02010","Allemant","172"
"476","02011","Ambleny","1153"
"477","02012","Ambrief","70"
"478","02013","Amifontaine","413"
"479","02014","Amigny-Rouy","740"
"480","02015","Ancienville","77.00"
"481","02016","Andelain","225"
"482","02017","Anguilcourt-le-Sart","310"
"483","02018","Anizy-le-Château","1956"
"484","02019","Annois","372"
"485","02020","Any-Martin-Rieux","457"
"486","02021","Archon","87"
"487","02022","Arcy-Sainte-Restitue","403"
"488","02023","Armentières-sur-Ourcq","106"
"489","02024","Arrancy","53"
"490","02025","Artemps","368"
"491","02027","Assis-sur-Serre","230"
"492","02028","Athies-sous-Laon","2602"
"493","02029","Attilly","373.00"
"494","02030","Aubencheul-aux-Bois","285.00"
"495","02031","Aubenton","652"
"496","02032","Aubigny-aux-Kaisnes","246"
"497","02033","Aubigny-en-Laonnois","106"
"498","02034","Audignicourt","107"
"499","02035","Audigny","282"
"500","02036","Augy","88.00"
"501","02037","Aulnois-sous-Laon","1440"
"502","02038","Les Autels","63.00"
"503","02039","Autremencourt","170"
"504","02040","Autreppes","179"
"505","02041","Autreville","816.00"
"506","02042","Azy-sur-Marne","396.00"
"507","02043","Bagneux","71"
"508","02044","Bancigny","26"
"509","02046","Barenton-Bugny","545"
"510","02047","Barenton-Cel","121"
"511","02048","Barenton-sur-Serre","126"
"512","02049","Barisis-aux-Bois","747"
"513","02050","Barzy-en-Thiérache","322"
"514","02051","Barzy-sur-Marne","382"
"515","02052","Bassoles-Aulers","146"
"516","02053","Vallées en Champagne","562"
"517","02054","Bazoches-sur-Vesles","465.00"
"518","02055","Beaumé","97"
"519","02056","Beaumont-en-Beine","172"
"520","02057","Beaurevoir","1443"
"521","02058","Beaurieux","815"
"522","02059","Beautor","2695"
"523","02060","Beauvois-en-Vermandois","283"
"524","02061","Becquigny","270.00"
"525","02062","Belleau","138"
"526","02063","Bellenglise","386.00"
"527","02064","Belleu","3780.00"
"528","02065","Bellicourt","614.00"
"529","02066","Benay","208"
"530","02067","Bergues-sur-Sambre","211"
"531","02068","Berlancourt","111"
"532","02069","Berlise","118"
"533","02070","Bernot","443"
"534","02071","Berny-Rivière","644"
"535","02072","Berrieux","189"
"536","02073","Berry-au-Bac","634"
"537","02074","Bertaucourt-Epourdon","614.00"
"538","02075","Berthenicourt","206.00"
"539","02076","Bertricourt","173"
"540","02077","Berzy-le-Sec","396.00"
"541","02078","Besmé","153"
"542","02079","Besmont","160"
"543","02080","Besny-et-Loizy","360"
"544","02081","Béthancourt-en-Vaux","486"
"545","02082","Beugneux","109"
"546","02083","Beuvardes","729"
"547","02084","Bézu-le-Guéry","260.00"
"548","02085","Bézu-Saint-Germain","1084"
"549","02086","Bichancourt","1075"
"550","02087","Bieuxy","29"
"551","02088","Bièvres","78"
"552","02089","Billy-sur-Aisne","1170"
"553","02090","Billy-sur-Ourcq","215"
"554","02091","Blanzy-lès-Fismes","111"
"555","02093","Blérancourt","1250"
"556","02094","Blesmes","426.00"
"557","02095","Bohain-en-Vermandois","5670.00"
"558","02096","Bois-lès-Pargny","200"
"559","02097","Boncourt","260"
"560","02098","Bonneil","379.00"
"561","02099","Bonnesvalyn","241"
"562","02100","Bony","134"
"563","02101","Bosmont-sur-Serre","198.00"
"564","02102","Bouconville-Vauclair","192"
"565","02103","Boué","1303"
"566","02104","Bouffignereux","102"
"567","02105","Bouresches","201"
"568","02106","Bourg-et-Comin","832.00"
"569","02107","Bourguignon-sous-Coucy","99"
"570","02108","Bourguignon-sous-Montbavin","152"
"571","02109","La Bouteille","493.00"
"572","02110","Braine","2249.00"
"573","02111","Brancourt-en-Laonnois","705"
"574","02112","Brancourt-le-Grand","585.00"
"575","02114","Brasles","1439"
"576","02115","Braye-en-Laonnois","219"
"577","02116","Braye-en-Thiérache","141"
"578","02117","Bray-Saint-Christophe","68"
"579","02118","Braye","119"
"580","02119","Brécy","346"
"581","02120","Brenelle","197"
"582","02121","Breny","252"
"583","02122","Brie","53"
"584","02123","Brissay-Choigny","297"
"585","02124","Brissy-Hamégicourt","654.00"
"586","02125","Brumetz","213"
"587","02126","Brunehamel","487"
"588","02127","Bruyères-sur-Fère","182"
"589","02128","Bruyères-et-Montbérault","1532"
"590","02129","Bruys","20"
"591","02130","Bucilly","184"
"592","02131","Bucy-le-Long","1895"
"593","02132","Bucy-lès-Cerny","216.00"
"594","02133","Bucy-lès-Pierrepont","421.00"
"595","02134","Buire","873.00"
"596","02135","Buironfosse","1163"
"597","02136","Burelles","129"
"598","02137","Bussiares","141"
"599","02138","Buzancy","188"
